sample,column,depth (m),Y89(LR),Zr90(LR),Cd111(LR),In115(LR),La139(LR),Pb208(LR),Sc45(MR),Ti47(MR),V51(MR),Mn55(MR),Fe56(MR),Co59(MR),Ni60(MR),Cu63(MR),Zn66(MR),Ga69(MR)
St  2 8,8,1999,146.4767535,169.4233233,0.270442763,270.4427632,23.1245436,46.09896062,22.853129,164.5551327,28.2666208,0.253639922,0.64250193,34.05725393,4.190158475,0.875370167,1.868201624,36.75469914
St  2 9,1,1751,148.8737095,162.4612784,0.255711664,255.7116641,22.75347562,48.64787321,24.05958443,171.4405441,27.47259668,0.214129598,0.703756595,35.55057545,4.178609385,0.806802714,1.962342759,37.8402339
St  2 10,2,1500,153.0936343,171.4180331,0.218690578,218.6905777,21.48222945,51.25490289,26.40263648,104.2190599,27.2252349,0.199241527,0.643299802,36.01255673,4.089438761,0.748146426,1.964941668,45.96140299
St  2 11,3,1246,161.8354597,155.8186834,0.188777562,188.7775615,21.86238679,50.31683144,25.94758825,77.75273966,26.6247869,0.268907385,0.812706656,35.1419885,3.871616188,0.720572591,2.091800418,47.01212988
St  2 12,4,998,161.975632,152.433276,0.185087452,185.0874516,22.42953081,54.90220828,25.32759263,73.54887354,28.38063906,0.28064198,0.714156696,38.16765375,3.782823134,0.691028329,1.833115291,45.3650432
St  2 13,5,752,157.3678801,135.5775812,0.163089213,163.0892133,21.65190368,47.92024296,18.4916249,63.43571188,27.95398935,0.294056678,0.424332607,37.64619793,3.487993718,0.657370765,1.83085733,45.07524875
St  2 14,6,501,147.1706823,113.5218183,0.178893253,178.8932528,21.71935348,46.18361627,14.37303825,68.47760286,29.19342382,0.217212167,0.545828468,41.133919,3.395656111,0.632140494,1.714898738,38.02401442
St  2 15,7,401,146.9915493,109.5900606,0.155718094,155.7180935,22.43324833,41.34503956,13.33913503,114.9679749,28.74540602,0.300468005,2.380852814,41.73233958,3.189678843,0.690275924,0.804577353,37.18736352
St  2 16,8,299,150.8748738,101.18689,0.125374753,125.3747527,21.78266626,38.43301779,14.52624243,62.62470833,28.29064883,0.365749326,0.512038932,37.43904135,2.893649619,0.561378962,0.512160557,35.39850862
St  2 17,1,250,148.3786212,81.1461391,0.105187961,105.1879608,21.40889897,39.82320923,11.99728798,52.92058527,28.11191599,0.485418732,0.507709324,39.96360983,2.664449169,0.557610336,0.666327525,34.48669797
